old_level	old_phase	old_alias	disposition	new_phase	new_level	new_alias	owner	purpose	oracle	reason
Project	Problem Definition	stop-evidence	retained	Problem Definition	Project	stop-evidence	Project sponsor	Define evidence for ending outcome pursuit	One observable condition triggers a stop decision under named authority	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	affected-people	retained	Problem Definition	Project	affected-people	Project stakeholder authority	Identify materially affected non-consumers	Each named group has a credible impact path from the Project	Mapped by the accepted literal semantic and domain audit
Project	Problem Definition	excluded-people	retained	Problem Definition	Project	excluded-people	Project sponsor	Set the current target-population exclusion	Excluded groups have a scope reason consistent with accepted outcomes	Mapped by the accepted literal semantic and domain audit
Project	Design	owned-outcome	retained	Design	Project	owned-outcome	Project sponsor	Fix the complete Project result	Accepted scope names one complete result and accountable sponsor	Mapped by the accepted literal semantic and domain audit
Project	Design	responsibility-boundary	retained	Design	Project	responsibility-boundary	Project governance authority	Set Project responsibility handoffs	Each boundary names included duty, excluded duty, and receiving owner	Mapped by the accepted literal semantic and domain audit
Project	Design	explicit-non-goal	retained	Design	Project	explicit-non-goal	Project sponsor	Exclude plausible capabilities from current scope	Each non-goal is explicit and absent from accepted Product obligations	Mapped by the accepted literal semantic and domain audit
Project	Design	manual-boundary	retained	Design	Project	manual-boundary	Project operations owner	Decide which tasks remain manual	Named tasks retain a human owner and no Product automation promise	Mapped by the accepted literal semantic and domain audit
Project	Design	scope-change-evidence	retained	Design	Project	scope-change-evidence	Project sponsor	Define evidence for scope expansion	A stated observation triggers reconsideration under named authority	Mapped by the accepted literal semantic and domain audit
Project	Design	irreversible-boundary	retained	Design	Project	irreversible-boundary	Project sponsor	Identify the costliest scope commitment	Compared decisions identify one with highest reversal cost and basis	Mapped by the accepted literal semantic and domain audit
Project	Design	context-actors	retained	Design	Project	context-actors	Project architect	Enumerate external actors and systems	Every material information exchange has a named endpoint	Mapped by the accepted literal semantic and domain audit
Project	Design	information-direction	retained	Design	Project	information-direction	Project data architect	Define Project information flows	Each important information kind has sender and receiver	Mapped by the accepted literal semantic and domain audit
Project	Design	coupling-risk	retained	Design	Project	coupling-risk	Project architect	Select independence seams that limit future cost	Named Products/systems can change independently in an accepted scenario	Mapped by the accepted literal semantic and domain audit
Project	Design	architecture-change-evidence	retained	Design	Project	architecture-change-evidence	Project architect	Define evidence for cross-Product redesign	One observable condition reopens the accepted architecture	Mapped by the accepted literal semantic and domain audit
Project	Design	state-authority	retained	Design	Project	state-authority	Project data authority	Resolve conflicting Project state or data	One authoritative source and conflict rule are named per state kind	Mapped by the accepted literal semantic and domain audit
Project	Design	data-lifecycle	retained	Design	Project	data-lifecycle	Project data steward	Set Project-wide data handling stages	Each data class has creation, use, retention, and deletion disposition	Mapped by the accepted literal semantic and domain audit
Project	Design	application-deliverable-inventory	retained	Design	Project	application-deliverable-inventory	Project sponsor	Fix the independently useful Product inventory	Every accepted Product has distinct useful outcome and stable identity	Mapped by the accepted literal semantic and domain audit
Project	Design	quality-priority	retained	Design	Project	quality-priority	Project sponsor	Rank conflicting Project qualities	A stated conflict selects one priority with rationale	Mapped by the accepted literal semantic and domain audit
Project	Design	build-buy-adopt	retained	Design	Project	build-buy-adopt	Project strategy authority	Choose sourcing mode for Project capabilities	Each material capability has one sourcing decision and evidence	Mapped by the accepted literal semantic and domain audit
Project	Design	project-differentiation	retained	Design	Project	project-differentiation	Project strategy authority	Protect the Project's differentiated value	Accepted strategy names value not delegated to a commodity dependency	Mapped by the accepted literal semantic and domain audit
Project	Design	strategy-non-goal	retained	Design	Project	strategy-non-goal	Project strategy authority	Exclude attractive but conflicting directions	Each excluded direction has a stated strategic reason	Mapped by the accepted literal semantic and domain audit
Project	Design	strategy-tradeoff	retained	Design	Project	strategy-tradeoff	Project strategy authority	Accept and mitigate a strategic tradeoff	Winning quality, losing quality, and protection are explicit	Mapped by the accepted literal semantic and domain audit
Project	Design	strategy-change-evidence	retained	Design	Project	strategy-change-evidence	Project strategy authority	Define evidence for strategy change	A stated observation requires reconsidering the selected strategy	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-horizon	retained	Design	Project	roadmap-horizon	Project roadmap authority	Define outcome-based roadmap horizons	Each horizon ends in an observable outcome, not a task list	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-dependency	retained	Design	Project	roadmap-dependency	Project roadmap authority	Gate horizon start on prerequisites	Every horizon prerequisite is present or explicitly unresolved	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-validation-gate	retained	Design	Project	roadmap-validation-gate	Project roadmap authority	Gate horizon advancement on evidence	Named evidence satisfies the current horizon exit condition	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-capacity	retained	Design	Project	roadmap-capacity	Project resource authority	Bound each horizon by available capacity	People/time/money/operations assumptions are quantified or bounded	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-irreversible-decision	retained	Design	Project	roadmap-irreversible-decision	Project roadmap authority	Control costly decisions within horizons	Each costly decision is delayed, tested, or explicitly accepted	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-replan-trigger	retained	Design	Project	roadmap-replan-trigger	Project roadmap authority	Define horizon replanning conditions	A named observation triggers plan revision	Mapped by the accepted literal semantic and domain audit
Project	Design	roadmap-stop-trigger	retained	Design	Project	roadmap-stop-trigger	Project sponsor	Define horizon or Project stopping conditions	A named observation triggers stop review under accepted authority	Mapped by the accepted literal semantic and domain audit
Project	Specification	protected-assets	retained	Specification	Project	protected-assets	Project security authority	Prioritize protection around the Project asset whose compromise has the highest consequence.	Accepted security analysis names the asset, compromise mode, affected parties, and ranked harm.	Mapped by the accepted literal semantic and domain audit
Project	Specification	threat-actor	retained	Specification	Project	threat-actor	Project security authority	Bound the credible adversaries and misuse sources the Project must defend against.	Accepted threat model names each credible actor or system, its capability, motive or trigger, and reachable attack surface.	Mapped by the accepted literal semantic and domain audit
Project	Specification	security-failure	retained	Specification	Project	security-failure	Project security authority	Select the Project-wide security loss that drives prevention and recovery priorities.	Accepted risk analysis identifies the failure, affected assets and parties, consequence severity, and evidence supporting its rank.	Mapped by the accepted literal semantic and domain audit
Project	Specification	consumer-indicator	retained	Specification	Project	consumer-indicator	Project measurement owner	Define the consumer-visible measure of whether the running Project delivers its intended outcome.	Accepted measurement contract names the indicator, calculation or observation method, source, cadence, and target direction.	Mapped by the accepted literal semantic and domain audit
Project	Specification	service-objective	retained	Specification	Project	service-objective	Project reliability owner	Convert a cross-Project behavior into a measurable reliability commitment.	Accepted service objective names the behavior, indicator, target, measurement window, and allowed failure budget.	Mapped by the accepted literal semantic and domain audit
Project	Specification	operational-runbook	retained	Specification	Project	operational-runbook	Project operations owner	Ensure the riskiest recurring operating task has a tested recovery-ready procedure.	Accepted runbook names the task, prerequisites, ordered actions, stop or rollback points, owners, and dated rehearsal evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	quality-scenario	retained	Specification	Project	quality-scenario	Project quality authority	Make the highest-priority quality concrete under a representative operating condition.	Accepted scenario records source, stimulus, environment, affected artifact, response, and measurable response target.	Mapped by the accepted literal semantic and domain audit
Project	Specification	quality-threshold	retained	Specification	Project	quality-threshold	Project quality authority	Set the minimum pass boundary for the Project’s priority quality.	Accepted quality contract records the metric, threshold, measurement conditions, and pass/fail rule.	Mapped by the accepted literal semantic and domain audit
Project	Specification	threshold-basis	retained	Specification	Project	threshold-basis	Project quality authority	Preserve why a quality threshold is defensible and changeable only with stronger evidence.	Accepted rationale cites the authoritative source or measurement, its applicability, and the inference to the chosen threshold.	Mapped by the accepted literal semantic and domain audit
Project	Specification	allowed-degradation	retained	Specification	Project	allowed-degradation	Project reliability owner	Order graceful-degradation choices before resource pressure forces an unsafe trade.	Accepted degradation policy ranks reducible qualities, states trigger conditions and limits, and names the protected behavior.	Mapped by the accepted literal semantic and domain audit
Project	Specification	protected-quality	retained	Specification	Project	protected-quality	Project reliability owner	Identify the quality invariant that overload or partial failure may not sacrifice.	Accepted reliability contract names the quality, required level, applicable failure states, and verification evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	verification-strategy	retained	Specification	Project	verification-strategy	Project validation authority	Assign proportionate evidence to every consequential Project claim.	Accepted claim ledger maps each important claim to a test, review, observation, or rehearsal, its owner, and pass condition.	Mapped by the accepted literal semantic and domain audit
Project	Specification	product-authority	retained	Specification	Project	product-authority	Project governance authority	Establish the final decision-maker for Product direction across the Project.	Accepted governance record names one authorized role or person, its decision scope, escalation path, and effective date.	Mapped by the accepted literal semantic and domain audit
Project	Specification	technical-authority	retained	Specification	Project	technical-authority	Project governance authority	Establish the final decision-maker for cross-Project technical direction.	Accepted governance record names one authorized role or person, technical scope, escalation path, and effective date.	Mapped by the accepted literal semantic and domain audit
Project	Specification	data-contract-owner	retained	Specification	Project	data-contract-owner	Project data governance authority	Assign approval authority for breaking data-contract changes.	Accepted ownership record names the authorized approver, covered contracts, breaking-change test, and escalation route.	Mapped by the accepted literal semantic and domain audit
Project	Specification	data-quality-owner	retained	Specification	Project	data-quality-owner	Project data governance authority	Assign accountability for data fitness decisions.	Accepted ownership record names the decision-maker, covered data, fitness criteria, and rejection or remediation route.	Mapped by the accepted literal semantic and domain audit
Project	Specification	license-model	retained	Specification	Project	license-model	Project legal authority	Fix the legal terms under which Project software may be used, changed, and redistributed.	Accepted license decision identifies the exact license and version or exception, covered artifacts, and legal approval evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	distribution-model	retained	Specification	Project	distribution-model	Project release authority	Bound the approved channels and recipients for Project Product distribution.	Accepted distribution contract names each channel, artifact, audience, access condition, and prohibited route.	Mapped by the accepted literal semantic and domain audit
Project	Specification	governance-model	retained	Specification	Project	governance-model	Project governance authority	Define how disputed Project decisions reach an authorized resolution.	Accepted governance process records decision classes, participants, quorum or authority, escalation, record location, and time bound.	Mapped by the accepted literal semantic and domain audit
Project	Specification	legal-constraint	retained	Specification	Project	legal-constraint	Project legal authority	Carry binding law or contract limits into Project scope and acceptance.	Accepted constraint record cites the law or contract clause, jurisdiction or parties, affected behavior, and compliance evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	regulatory-constraint	retained	Specification	Project	regulatory-constraint	Project compliance authority	Carry applicable industry rules into Project scope and acceptance.	Accepted constraint record cites the regulator and rule, applicability basis, affected behavior, and required evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	budget-constraint	retained	Specification	Project	budget-constraint	Project funding authority	Set the spending ceiling that bounds Project scope and choices.	Accepted funding record states amount, currency, covered period and costs, approver, and variance rule.	Mapped by the accepted literal semantic and domain audit
Project	Specification	schedule-constraint	retained	Specification	Project	schedule-constraint	Project delivery authority	Set the externally required date that constrains scope or sequencing.	Accepted schedule record names the date, required outcome, source of obligation, and consequence of missing it.	Mapped by the accepted literal semantic and domain audit
Project	Specification	available-time	retained	Specification	Project	available-time	Project staffing authority	Quantify confirmed contributor capacity before scope is committed.	Accepted capacity record lists each confirmed contributor or role, available effort, date range, and competing commitments.	Mapped by the accepted literal semantic and domain audit
Project	Specification	available-systems	retained	Specification	Project	available-systems	Project delivery authority	Expose unavailable dependencies that constrain design or delivery.	Accepted dependency record names each unavailable system, needed capability or access, blocker owner, and expected resolution evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	operational-owner	retained	Specification	Project	operational-owner	Project operations authority	Assign accountability for routine service operation.	Accepted responsibility record names one accountable role or person, covered services, duties, hours or handoff, and escalation path.	Mapped by the accepted literal semantic and domain audit
Project	Specification	incident-owner	retained	Specification	Project	incident-owner	Project incident authority	Assign command authority for incidents crossing Product boundaries.	Accepted incident plan names the coordinator role, activation trigger, authority, communication route, and backup.	Mapped by the accepted literal semantic and domain audit
Project	Specification	risk-owner	retained	Specification	Project	risk-owner	Project risk authority	Assign accountability for monitoring and treating the highest-consequence Project risk.	Accepted risk register names the owner, risk, indicators, review cadence, treatment authority, and escalation trigger.	Mapped by the accepted literal semantic and domain audit
Project	Specification	missing-authority	retained	Specification	Project	missing-authority	Project governance authority	Surface decisions that cannot close because no authorized owner exists.	Accepted authority-gap record names each decision, required authority, current impact, interim restriction, and assignment action.	Mapped by the accepted literal semantic and domain audit
Project	Specification	primary-maintainer	retained	Specification	Project	primary-maintainer	Project maintenance authority	Assign ongoing responsibility for Project upkeep.	Accepted maintenance record names one primary maintainer, covered duties, response expectations, access, and effective period.	Mapped by the accepted literal semantic and domain audit
Project	Specification	backup-maintainer	retained	Specification	Project	backup-maintainer	Project maintenance authority	Preserve maintenance continuity when the primary maintainer is absent.	Accepted continuity record names a capable backup, activation condition, required access, and successful handoff or rehearsal evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	hidden-knowledge	retained	Specification	Project	hidden-knowledge	Project continuity owner	Find single-person knowledge dependencies before they block maintenance.	Accepted knowledge-risk record names the task or decision, sole holder, failure consequence, and transfer or documentation evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	maintenance-end-evidence	retained	Specification	Project	maintenance-end-evidence	Project governance authority	Define the evidence needed to end active maintenance responsibly.	Accepted retirement criteria state usage, dependency, risk, support, archival, communication, and approval conditions with measurable gates.	Mapped by the accepted literal semantic and domain audit
Project	Specification	continuity-documentation	retained	Specification	Project	continuity-documentation	Project continuity owner	Identify the document that lets another maintainer continue the Project safely.	Accepted continuity test names the document and records a dated walkthrough or rehearsal completed by a non-author maintainer.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-purpose	retained	Specification	Project	policy-purpose	Project policy authority	Tie each binding policy to a specific risk or recurring decision.	Accepted policy record names the risk or decision, affected outcome, and evidence that the policy addresses it.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-scope	retained	Specification	Project	policy-scope	Project policy authority	Bound who and what each policy governs.	Accepted policy names included people, artifacts, environments, actions, explicit exclusions, and applicability trigger.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-authority	retained	Specification	Project	policy-authority	Project governance authority	Assign legitimate authority over each policy’s lifecycle and interpretation.	Accepted policy names the role allowed to establish, interpret, change, and retire it, plus escalation and approval evidence.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-enforcement-evidence	retained	Specification	Project	policy-enforcement-evidence	Project compliance authority	Define observable proof that each binding policy is followed.	Accepted policy maps each requirement to an auditable record, test, review, or control, including custodian and retention.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-exception	retained	Specification	Project	policy-exception	Project policy authority	Control when and how a policy exception may be granted.	Accepted exception process names the approver, eligibility conditions, required rationale, compensating control, expiry, and record location.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-review-change	retained	Specification	Project	policy-review-change	Project policy authority	Ensure policies are reviewed and approved changes reach every affected subject.	Accepted lifecycle record states review event or interval, change authority, versioning, notification route, acknowledgement evidence, and effective date.	Mapped by the accepted literal semantic and domain audit
Project	Specification	policy-retirement	retained	Specification	Project	policy-retirement	Project policy authority	Define when a policy must be retired instead of silently retained.	Accepted retirement rule names evidence of redundancy or harm, required approver, replacement or rollback, archive, and notification evidence.	Mapped by the accepted literal semantic and domain audit
Project	Lifecycle and Use Cases	scenario-inventory	excluded							Derived scenario coverage operation
Project	Lifecycle and Use Cases	scenario-class	excluded							Derived from accepted scenario dimensions
Project	Lifecycle and Use Cases	scenario-purpose	excluded							Derived from linked accepted decisions
Project	Lifecycle and Use Cases	scenario-linked-decision	excluded							Derived from accepted decision references
Project	Lifecycle and Use Cases	scenario-coverage-gap	excluded							Review-derived coverage evidence
Project	Lifecycle and Use Cases	scenario-owned-deferral	excluded							Record field asked only through an exact blocker
Project	Lifecycle and Use Cases	recovery-priority	retained	Product Lifecycle	Project	recovery-priority	Project continuity authority	Order restoration when two or more Product capabilities compete	A named consumer outcome or capability is restored first under the accepted disruption constraint	Mapped by the accepted literal semantic and domain audit
Project	Lifecycle and Use Cases	roadmap-deprecation-path	retained	Product Lifecycle	Project	roadmap-deprecation-path	Project portfolio-transition owner	Assign successor responsibility before a Project capability or Product retires	Every affected duty has a named successor or explicit closure before predecessor retirement	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	software-type	retained	Problem Definition	Product	software-type	Product authority	Classify the Product delivery form	Accepted Product evidence matches one independently useful application or platform form	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	other-software	retained	Problem Definition	Product	other-software	Product discovery owner	Identify existing external alternatives	Named alternatives demonstrably address the same consumer problem	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	prior-attempt	retained	Problem Definition	Product	prior-attempt	Product discovery owner	Learn from the latest attempted Product outcome	A specific attempt records result, evidence, and relevant cause	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	first-user	retained	Problem Definition	Product	first-user	Product authority	Select the first Product consumer	One actor is named with evidence of priority and fit	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	main-task	retained	Problem Definition	Product	main-task	Target-consumer representative	Define the first consumer's primary task	A consumer can demonstrate a bounded task with observable completion	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	task-situation	retained	Problem Definition	Product	task-situation	Target-consumer representative	Locate the task in real operating context	A concrete context states trigger, constraints, and actor	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	task-failure-cost	retained	Problem Definition	Product	task-failure-cost	Target-consumer representative	Establish consequence of task failure	Evidence identifies harm, delay, loss, or bounded no-consequence	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	current-alternative	retained	Problem Definition	Product	current-alternative	Target-consumer representative	Describe the present workaround or competing flow	Current steps can be observed or reproduced end to end	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	alternative-obstacle	retained	Problem Definition	Product	alternative-obstacle	Target-consumer representative	Identify the blocking step in the current approach	Evidence links one step or condition to delay or failure	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	reason-to-leave	retained	Problem Definition	Product	reason-to-leave	Target-consumer representative	Identify pain that drives switching	A stated problem produces an observable search or exit action	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	reason-to-adopt	retained	Problem Definition	Product	reason-to-adopt	Target-consumer representative	Identify value that drives Product trial	A named benefit maps to an observable trial or evaluation action	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	adoption-concern	retained	Problem Definition	Product	adoption-concern	Target-consumer representative	Identify the main adoption barrier	Evidence links one concern to refusal, delay, or abandonment	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	established-habit	retained	Problem Definition	Product	established-habit	Target-consumer representative	Identify workflow inertia to respect	A repeated behavior is observed and its replacement cost stated	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	adoption-evidence	retained	Problem Definition	Product	adoption-evidence	Product measurement owner	Define evidence of willingness to switch	A consumer performs one predefined commitment action	Mapped by the accepted literal semantic and domain audit
Product	Problem Definition	required-improvement	retained	Problem Definition	Product	required-improvement	Product authority	Set the comparative improvement target	Product result is measurably better than the current approach on one named dimension	Mapped by the accepted literal semantic and domain audit
Product	Design	stable-boundary	retained	Design	Product	stable-boundary	Product contract owner	Preserve Product contracts across stack change	Contract behavior remains unchanged in a replacement-Implementation scenario	Mapped by the accepted literal semantic and domain audit
Product	Design	web-runtime-boundary	retained	Design	Product	web-runtime-boundary	Product architect	Allocate web work to browser or non-browser runtime	Each material responsibility has one runtime side and evidence	Mapped by the accepted literal semantic and domain audit
Product	Design	data-processing-model	retained	Design	Product	data-processing-model	Product architect	Choose event, batch, or on-demand result production	Accepted workload evidence selects a processing model	Mapped by the accepted literal semantic and domain audit
Product	Design	application-deliverable-type	retained	Design	Product	application-deliverable-type	Product authority	Confirm Product form and complete outcome	Accepted type evidence matches Product identity and useful outcome	Mapped by the accepted literal semantic and domain audit
Product	Design	building-block-inventory	retained	Design	Product	building-block-inventory	Product registry authority	Resolve the Product's single Implementation identity	Exactly one registered Implementation key references the Product	Mapped by the accepted literal semantic and domain audit
Product	Design	building-block-parent	retained	Design	Product	building-block-parent	Product registry authority	Confirm Implementation parentage	Registered Implementation points to exactly this Product key	Mapped by the accepted literal semantic and domain audit
Product	Design	interface-type	retained	Design	Product	interface-type	Product designer	Choose consumer interaction modes	Each main consumer has an accessible interface mode	Mapped by the accepted literal semantic and domain audit
Product	Design	domain-concepts	retained	Design	Product	domain-concepts	Product domain authority	Standardize concepts across interfaces	Each shared term has one accepted definition in all interfaces	Mapped by the accepted literal semantic and domain audit
Product	Design	representative-users	retained	Design	Product	representative-users	Product research owner	Select consumers for assumption testing	Selected participants match intended consumers and uncertain assumption	Mapped by the accepted literal semantic and domain audit
Product	Design	representative-tasks	retained	Design	Product	representative-tasks	Product research owner	Select realistic usability test tasks	Each task exercises the uncertain Product-use claim end to end	Mapped by the accepted literal semantic and domain audit
Product	Design	design-reference	retained	Design	Product	design-reference	Product designer	Select evidence-backed interface prior art	Reference demonstrates an applicable behavior or structure	Mapped by the accepted literal semantic and domain audit
Product	Design	reference-rejection	retained	Design	Product	reference-rejection	Product designer	Exclude misleading interface prior art	Rejected reference has a stated mismatch with Product needs	Mapped by the accepted literal semantic and domain audit
Product	Specification	initial-capabilities	retained	Specification	Product	initial-capabilities	Product authority	Bound the first release to the capabilities needed for useful operation.	Accepted release scope lists each required capability, its consumer outcome, exclusions, and acceptance evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	refused-use	retained	Specification	Product	refused-use	Product safety authority	Define attempted uses the Product must actively reject.	Accepted safety contract lists each refused use, detection condition, response, consumer feedback, and no-harm invariant.	Mapped by the accepted literal semantic and domain audit
Product	Specification	feature-list	retained	Specification	Product	feature-list	Product authority	Establish the named feature inventory for Product scope and traceability.	Accepted feature register gives each feature a unique name, outcome, owner, release disposition, and link to its acceptance contract.	Mapped by the accepted literal semantic and domain audit
Product	Specification	minimum-complete-capability	retained	Specification	Product	minimum-complete-capability	Product authority	Select the smallest end-to-end capability that delivers one useful consumer outcome.	Accepted capability contract names trigger, prerequisites, complete path, observable finish, exclusions, and representative-user evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	feature-prerequisite	retained	Specification	Product	feature-prerequisite	Product contract owner	State the dependencies and preconditions required before a feature can start.	Accepted feature contract lists each prerequisite, its authoritative source, validation check, and failure response.	Mapped by the accepted literal semantic and domain audit
Product	Specification	feature-start	retained	Specification	Product	feature-start	Product contract owner	Define the unambiguous trigger that begins a feature.	Accepted feature contract names the initiating action, event, or schedule and an observable start condition.	Mapped by the accepted literal semantic and domain audit
Product	Specification	feature-finish	retained	Specification	Product	feature-finish	Product contract owner	Define the observable completion condition for a feature.	Accepted feature contract records the final state or output, consumer-visible confirmation, and pass/fail evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	feature-handoff	retained	Specification	Product	feature-handoff	Product contract owner	Locate responsibility transfer in a cross-person or cross-system feature path.	Accepted interaction contract names the handoff point, sender, receiver, payload or state, acknowledgement, and failure owner.	Mapped by the accepted literal semantic and domain audit
Product	Specification	feature-worst-failure	retained	Specification	Product	feature-worst-failure	Product risk owner	Identify the feature failure that drives safeguards and recovery.	Accepted risk record names the failure, affected parties or state, severity basis, detection signal, safeguard, and recovery route.	Mapped by the accepted literal semantic and domain audit
Product	Specification	success-feedback	retained	Specification	Product	success-feedback	Product interaction designer	Specify the first confirmation that a Product action succeeded.	Accepted interaction contract records the returned or displayed feedback, timing, resulting state, and representative-user comprehension evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	information-priority	retained	Specification	Product	information-priority	Product interaction designer	Put decision-critical information before the consumer must act.	Accepted design evidence identifies the decision, required information, presentation order and timing, and representative-user finding.	Mapped by the accepted literal semantic and domain audit
Product	Specification	result-explanation	retained	Specification	Product	result-explanation	Product transparency owner	Define which consequential results require an understandable rationale.	Accepted explanation contract names the result, audience, factors or provenance shown, limits disclosed, and comprehension evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	error-action	retained	Specification	Product	error-action	Product interaction designer	Preserve a clear recovery action after a Product error.	Accepted error contract names the error state, consumer-facing message, available next action, state preserved, and recovery test.	Mapped by the accepted literal semantic and domain audit
Product	Specification	destructive-safeguard	retained	Specification	Product	destructive-safeguard	Product safety authority	Prevent accidental or unauthorized hard-to-reverse Product actions.	Accepted safeguard contract names the action, authorization or confirmation, preview or backup, cancellation or undo, and failure test.	Mapped by the accepted literal semantic and domain audit
